commodity,industry,million_usd,moved
233230,327991,26.0,False
321910,327991,3.0,False
327991,327991,4892.0,False
337110,327991,5.0,False
326190,327991,2.0,False
423A00,327991,7.0,False
541511,327991,3.0,False
541700,327991,47.0,False
233230,327992,25.0,False
327100,327992,474.0,False
327992,327992,3832.0,False
423A00,327992,15.0,False
541511,327992,1.0,False
541700,327992,15.0,False
233230,327993,34.0,False
327200,327993,6.0,False
327993,327993,6179.0,False
423A00,327993,36.0,False
541511,327993,2.0,False
541700,327993,36.0,False
233230,327999,29.0,False
327390,327999,1.0,False
327999,327999,4859.0,False
423A00,327999,155.0,False
541511,327999,1.0,False
541700,327999,23.0,False
233230,331110,77.0,False
331110,331110,84818.0,False
331200,331110,626.0,False
331410,331110,10.0,False
331490,331110,162.0,False
33211A,331110,260.0,False
332600,331110,3.0,False
33399A,331110,1.0,False
335930,331110,16.0,False
324190,331110,1706.0,False
423A00,331110,100.0,False
541511,331110,24.0,False
541700,331110,149.0,False
S00401,331110,156.0,False
233230,331200,21.0,False
331110,331200,16851.0,False
331200,331200,5341.0,False
33131B,331200,7.0,False
331410,331200,2.0,False
331420,331200,9.0,False
331490,331200,73.0,False
331510,331200,33.0,False
33211A,331200,4.0,False
332320,331200,1.0,False
332600,331200,100.0,False
332710,331200,2.0,False
332800,331200,8.0,False
332999,331200,36.0,False
335930,331200,3.0,False
314900,331200,1.0,False
324190,331200,1.0,False
423A00,331200,103.0,False
541511,331200,8.0,False
541700,331200,152.0,False
S00401,331200,186.0,False
233230,331314,7.0,False
331313,331314,5662.0,False
331410,331314,84.0,False
332800,331314,5.0,False
333912,331314,77.0,False
423A00,331314,46.0,False
541511,331314,1.0,False
541700,331314,5.0,False
S00401,331314,3.0,False
233230,331313,7.0,False
331313,331313,2735.0,False
33131B,331313,22.0,False
325180,331313,17.0,False
423A00,331313,2.0,False
541511,331313,1.0,False
541700,331313,9.0,False
S00401,331313,1.0,False
233230,33131B,29.0,False
327200,33131B,5.0,False
331200,33131B,1.0,False
331313,33131B,412.0,False
33131B,33131B,25147.0,False
331420,33131B,82.0,False
331490,33131B,347.0,False
332710,33131B,12.0,False
332800,33131B,324.0,False
332999,33131B,1.0,False
335920,33131B,33.0,False
322220,33131B,2.0,False
423A00,33131B,227.0,False
541511,33131B,6.0,False
541700,33131B,42.0,False
S00401,33131B,262.0,False
233230,331410,7.0,False
327100,331410,1.0,False
331410,331410,9992.0,False
331490,331410,87.0,False
332119,331410,1.0,False
325130,331410,14.0,False
325180,331410,60.0,False
423A00,331410,22.0,False
541511,331410,2.0,False
541700,331410,17.0,False
S00401,331410,49.0,False
233230,331420,10.0,False
327200,331420,5.0,False
331110,331420,2.0,False
33131B,331420,345.0,False
331410,331420,1170.0,False
331420,331420,19331.0,False
331490,331420,132.0,False
332119,331420,5.0,False
332999,331420,265.0,False
33441A,331420,1.0,False
335920,331420,464.0,False
335999,331420,5.0,False
325211,331420,1.0,False
423A00,331420,134.0,False
541511,331420,6.0,False
541700,331420,48.0,False
233230,331490,10.0,False
331110,331490,101.0,False
331410,331490,4190.0,False
331490,331490,9517.0,False
