napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2001625003,3118A0,0.5,NAICS_2007_Code,Manufacturing of pancake and waffle mixes
2001625006,311210,0.5,NAICS_2012_Code,Manufacturing of biscuit mixes
2001625006,3118A0,0.5,NAICS_2007_Code,Manufacturing of biscuit mixes
2001625009,311210,0.5,NAICS_2012_Code,"Manufacturing of other prepared flour mixes (including cookie, piecrust, doughnut, and other sweet yeast goods mixes)"
2001625009,3118A0,0.5,NAICS_2007_Code,"Manufacturing of other prepared flour mixes (including cookie, piecrust, doughnut, and other sweet yeast goods mixes)"
2001625012,311210,0.5,NAICS_2012_Code,Manufacturing of bread and bread-type roll mixes
2001625012,3118A0,0.5,NAICS_2007_Code,Manufacturing of bread and bread-type roll mixes
2001625015,311210,0.5,NAICS_2012_Code,"Manufacturing of refrigerated doughs and batters (cookie, biscuit, bread and bread-type roll, pasta, pizza, coffeecake, pancake, etc.)"
2001625015,3118A0,0.5,NAICS_2007_Code,"Manufacturing of refrigerated doughs and batters (cookie, biscuit, bread and bread-type roll, pasta, pizza, coffeecake, pancake, etc.)"
2001625018,311210,0.5,NAICS_2012_Code,"Manufacturing of frozen doughs and batters (cookie, biscuit, bread and bread-type roll, pasta, pizza, coffeecake, pancake, etc.)"
2001625018,3118A0,0.5,NAICS_2007_Code,"Manufacturing of frozen doughs and batters (cookie, biscuit, bread and bread-type roll, pasta, pizza, coffeecake, pancake, etc.)"
2001650000,311940,1.0,NAICS_2012_Code,Manufacturing of table salt
2001675000,311940,1.0,NAICS_2012_Code,"Manufacturing of pepper, white and black, and other spices in consumer sizes (less than 1 lb)"
2001700000,311940,1.0,NAICS_2012_Code,"Manufacturing of pepper, white and black, and other spices in commercial sizes (1 lb or more)"
2001710000,311300,1.0,NAICS_2007_Code,"Manufacturing of raw cane sugar, sugarcane molasses, syrup, and blackstrap and all other sugarcane mill products and byproducts without further processing"
2001725000,311300,1.0,NAICS_2007_Code,"Manufacturing of refined sugar, cube and tablet, shipped in small individual packets or consumer units"
2001750000,311300,1.0,NAICS_2007_Code,"Manufacturing of refined granulated sugar, including cube and tablet sugar, shipped in commercial units (bags and other containers greater than 25 lb)"
2001775000,311300,1.0,NAICS_2007_Code,"Manufacturing of refined granulated sugar, including cube and tablet sugar, shipped in bulk (rail cars, trucks, or bins)"
2001800000,311300,1.0,NAICS_2007_Code,Manufacturing of other sugar refining products and byproducts
2001800003,311300,1.0,NAICS_2007_Code,"Manufacturing of refined confectioners' powdered sugar and refined soft or brown sugar, shipped in consumer units (containers 10 lb or less)"
2001800006,311300,1.0,NAICS_2007_Code,"Manufacturing of refined confectioners' powdered sugar and refined soft or brown sugar, shipped in commercial units (containers greater than 10 lb)"
2001800009,311300,1.0,NAICS_2007_Code,"Manufacturing of refined liquid sugar or sugar syrup, sucrose-type or invert- and/or partially-invert-type"
2001800012,311300,1.0,NAICS_2007_Code,"Manufacturing of other refined cane sugar products and byproducts, including refiners' blackstrap and syrup"
2001800015,311300,1.0,NAICS_2012_Code,"Manufacturing of whole, straighthouse, or discard beet sugar molasses and molasses beet sugar pulp"
2001800018,311300,1.0,NAICS_2012_Code,"Manufacturing of molasses beet sugar pulp, pelletized"
