code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4004125000,4004125000,B,B,False,"Wholesale sales of hydraulic and pneumatic pumps, motors, and parts","Wholesale sales of hydraulic and pneumatic pumps, motors, and parts"
4004125003,4004125003,D,D,False,Wholesale sales of hydraulic and pneumatic pumps,Wholesale sales of hydraulic and pneumatic pumps
4004125006,4004125006,D,D,False,Wholesale sales of hydraulic and pneumatic motors,Wholesale sales of hydraulic and pneumatic motors
4004125009,4004125009,D,D,False,Wholesale sales of hydraulic and pneumatic pump and motor parts,Wholesale sales of hydraulic and pneumatic pump and motor parts
4004150000,4004150000,B,B,False,"Wholesale sales of tires and tubes, including retreaded and used automobile tires and repair materials",Wholesale sales of tires and tubes
4004150003,4004150003,D,D,False,Wholesale sales of new automobile tires and tubes,Wholesale sales of new automobile tires and tubes
4004150006,4004150006,D,D,False,Wholesale sales of re-treaded and used automobile tires and repair materials,Wholesale sales of re-treaded and used automobile tires and repair materials
4004150009,4004150009,D,D,False,"Wholesale sales of new truck and bus tires, including industrial, off-road, and farm tractor tires","Wholesale sales of new truck and bus tires, including industrial, off-road, and farm tractor tires"
4004150012,4004150012,D,D,False,"Wholesale sales of re-treaded and used truck and bus tires and repair materials, including industrial, off-road, and farm tractor tires","Wholesale sales of re-treaded and used truck and bus tires and repair materials, including industrial, off-road, and farm tractor tires"
4004150015,4004150015,D,D,False,Wholesale sales of aircraft tires,Wholesale sales of aircraft tires
4004175000,4004175000,B,B,False,"Wholesale sales of new and rebuilt automotive, light truck, and trailer parts and supplies (excluding automotive bodies and chemicals)","Wholesale sales of new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals"
4004175003,4004175003,D,D,False,Wholesale sales of automotive batteries,Wholesale sales of automotive batteries
4004175006,4004175006,D,D,False,Wholesale sales of complete engines,Wholesale sales of complete engines
4004175009,4004175009,D,D,False,"Wholesale sales of electrical engine parts, including ignition parts","Wholesale sales of electrical engine parts, including ignition parts"
4004175012,4004175012,D,D,False,"Wholesale sales of brake parts, including fluid and all disk and drum parts","Wholesale sales of brake parts, including fluid and all disk and drum parts"
4004175015,4004175015,D,D,False,Wholesale sales of exhaust system parts,Wholesale sales of exhaust system parts
4004175018,4004175018,D,D,False,Wholesale sales of automotive glass,Wholesale sales of automotive glass
4004175021,4004175021,D,D,False,"Wholesale sales of hoses, belts, gaskets, and wiper blades","Wholesale sales of hoses, belts, gaskets, and wiper blades"
4004175024,4004175024,D,D,False,"Wholesale sales of filters, including oil, air, gas, and transmission","Wholesale sales of filters, including oil, air, gas, and transmission"
4004175027,4004175027,D,D,False,"Wholesale sales of engine parts, except electrical parts","Wholesale sales of engine parts, except electrical parts"
4004175031,4004175031,D,D,False,Wholesale sales of body parts and repair materials,Wholesale sales of body parts and repair materials
4004175033,4004175033,D,D,False,"Wholesale sales of suspension parts, including shocks, struts, and ball joints","Wholesale sales of suspension parts, including shocks, struts, and ball joints"
4004175036,4004175036,D,D,False,Wholesale sales of other automotive parts and supplies,Wholesale sales of other automotive parts and supplies
4004175039,4004175039,D,D,False,"Wholesale sales of automotive accessories, except car stereos and CD players","Wholesale sales of automotive accessories, except car stereos and CD players"
4004195000,4004195000,B,B,False,"Wholesale sales of car stereos, tape players, and CD players","Wholesale sales of car stereos, tape players, and CD players"
4004200000,4004200000,B,B,False,"Wholesale sales of new light truck, van, and SUV bodies","Wholesale sales of new light truck, van, and SUV bodies"
4004225000,4004225000,B,B,False,"Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","Wholesale sales of automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze"
4004250000,4004250000,B,B,False,Wholesale sales of used automotive parts and accessories,Wholesale sales of used automotive parts and accessories
4004275000,4004275000,B,B,False,Wholesale sales of marine propulsion machinery and equipment and marine supplies,Wholesale sales of marine propulsion machinery and equipment and marine supplies
4004275003,4004275003,D,D,False,Wholesale sales of new marine propulsion machinery and equipment,Wholesale sales of new marine propulsion machinery and equipment
4004275006,4004275006,D,D,False,Wholesale sales of marine supplies,Wholesale sales of marine supplies
4004300000,4004300000,B,B,False,"Wholesale sales of aircraft equipment and supplies, including engines and engine parts","Wholesale sales of aircraft equipment and supplies, including engines and engine parts"
4004300003,4004300003,D,D,False,Wholesale sales of new aircraft engines and engine parts,Wholesale sales of new aircraft engines and engine parts
4004300006,4004300006,D,D,False,Wholesale sales of other new aircraft parts and supplies,Wholesale sales of other new aircraft parts and supplies
4004300009,4004300009,D,D,False,Wholesale sales of used aircraft parts and supplies,Wholesale sales of used aircraft parts and supplies
4004325000,4004325000,B,B,False,Wholesale sales of new medium truck bodies,Wholesale sales of new medium truck bodies
4004350000,4004350000,B,B,False,Wholesale sales of new heavy truck bodies,Wholesale sales of new heavy truck bodies
4004475000,4004475000,B,B,False,"Wholesale sales of industrial, commercial, and service industry machinery parts and supplies","Wholesale sales of industrial, commercial, and service industry machinery parts and supplies"
4004475003,4004475003,D,D,False,Wholesale sales of food-processing machinery parts,Wholesale sales of food-processing machinery parts
4004475006,4004475006,D,D,False,Wholesale sales of oil refining machinery and equipment parts,Wholesale sales of oil refining machinery and equipment parts
4004475009,4004475009,D,D,False,Wholesale sales of other specialized industrial machinery parts,Wholesale sales of other specialized industrial machinery parts
4004475012,4004475012,D,D,False,Wholesale sales of general purpose industrial machinery parts,Wholesale sales of general purpose industrial machinery parts
4004475015,4004475015,D,D,False,Wholesale sales of metalworking machinery parts,Wholesale sales of metalworking machinery parts
4004475018,4004475018,D,D,False,Wholesale sales of materials handling machinery parts,Wholesale sales of materials handling machinery parts
4004475021,4004475021,D,D,False,"Wholesale sales of parts and supplies for electric motors and generators, including motor-generator sets","Wholesale sales of parts and supplies for electric motors and generators, including motor-generator sets"
4004500000,4004500000,B,B,False,Wholesale sales of lubricating oil and greases,Wholesale sales of lubricating oil and greases
