ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,51,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,52,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,53,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,54,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,55,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,56,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,61,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,62,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,71,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,72,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,81,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,S00102,,S00102,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,GSLGE,,GSLGE,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,GSLGH,,GSLGH,EPA_GHGI_T_A_14
UMD_GHGIA,Total (All Fuels) Residential,NAICS_2017_Code,F01000,,F0100,EPA_GHGI_T_A_14
UMD_GHGIA,HCFC-22 Production,NAICS_2017_Code,325120,,325120,UMD_GHGIA_T_4_33
UMD_GHGIA,Fluorochemical Production,NAICS_2017_Code,325120,,,UMD_GHGIA_T_4_35
UMD_GHGIA,Electronics Production,NAICS_2017_Code,334413,,334413,UMD_GHGIA_T_4_57
UMD_GHGIA,Semiconductors,NAICS_2017_Code,334413,,,UMD_GHGIA_T_4_57
UMD_GHGIA,MEMS,NAICS_2017_Code,334413,,,UMD_GHGIA_T_4_57
UMD_GHGIA,PV,NAICS_2017_Code,334413,,,UMD_GHGIA_T_4_57
UMD_GHGIA,Magnesium Production,NAICS_2017_Code,331410,,"331410, 331490, 331520",UMD_GHGIA_T_4_52
UMD_GHGIA,Magnesium Production,NAICS_2017_Code,33149,,,UMD_GHGIA_T_4_52
UMD_GHGIA,Magnesium Production,NAICS_2017_Code,33152,,,UMD_GHGIA_T_4_52
UMD_GHGIA,Domestic Refrigeration,NAICS_2017_Code,F01000,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Residential Stationary Air Conditioning,NAICS_2017_Code,F01000,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,2213,,Apply same mapping as Commercial elsewhere,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,42,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,44,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,45,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,493,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,51,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,52,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,53,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,54,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,55,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,56,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,61,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,62,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,71,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,72,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,81,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,S00102,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,GSLGE,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Commercial Refrigeration,NAICS_2017_Code,GSLGH,,,UMD_GHGIA_T_4_60
UMD_GHGIA,Industrial Process Refrigeration,NAICS_2017_Code,11,,,UMD_GHGIA_T_4_60
