direction,commodity,candidate_usd,reference_usd,status
imports,221300,0.0,0.0,0
imports,233210,0.0,0.0,0
imports,233262,0.0,0.0,0
imports,230301,0.0,0.0,0
imports,230302,0.0,0.0,0
imports,2332A0,0.0,0.0,0
imports,233412,0.0,0.0,0
imports,2334A0,0.0,0.0,0
imports,233230,0.0,0.0,0
imports,2332D0,0.0,0.0,0
imports,233240,0.0,0.0,0
imports,233411,0.0,0.0,0
imports,2332C0,0.0,0.0,0
imports,321100,7784016894.0,7674000000.0,2
imports,321200,7209292825.0,7187000000.0,1
imports,321910,2354778581.0,2451000000.0,2
imports,3219A0,3995782172.0,3729000000.0,2
imports,327100,7261921769.0,6960000000.0,2
imports,327200,7684270388.0,7653000000.0,1
imports,327310,1158718666.0,1128000000.0,2
imports,327320,874460.0,1000000.0,1
imports,327330,41342770.0,41000000.0,1
imports,327390,1099343197.0,2093000000.0,2
imports,327400,211874881.0,189000000.0,2
imports,327910,1649588940.0,1828000000.0,2
imports,327991,4073854064.0,3191000000.0,2
imports,327992,422796792.0,464000000.0,2
imports,327993,860049609.0,819000000.0,2
imports,327999,584083704.0,588000000.0,1
imports,331110,35184030244.0,33687000000.0,2
imports,331200,2337474307.0,3713000000.0,2
imports,331313,11434205703.0,10721000000.0,2
imports,33131B,6425945037.0,5927000000.0,2
imports,331410,30773680532.0,18967000000.0,2
imports,331420,3090064859.0,3173000000.0,2
imports,331490,3889409050.0,2491000000.0,2
imports,331510,1362405234.0,901000000.0,2
imports,331520,236375962.0,90000000.0,2
imports,332114,0.0,0.0,0
imports,33211A,145693644.0,0.0,4
imports,332119,678295501.0,649000000.0,2
imports,332200,9054454248.0,7735000000.0,2
imports,332310,4088850507.0,4090000000.0,1
imports,332320,1837854023.0,1685000000.0,2
imports,332410,2365657605.0,2116000000.0,2
imports,332420,1314911614.0,1265000000.0,2
imports,332430,1174565310.0,1069000000.0,2
imports,332500,7876867045.0,7606000000.0,2
imports,332600,3193530261.0,1633000000.0,2
imports,332710,0.0,0.0,0
imports,332720,5486503258.0,4651000000.0,2
imports,332800,0.0,0.0,0
imports,332913,1468283654.0,1228000000.0,2
imports,33291A,16067249959.0,14632000000.0,2
imports,332991,4084361363.0,2885000000.0,2
imports,332996,0.0,0.0,0
imports,33299A,2681647102.0,2639000000.0,2
imports,332999,10825599731.0,9775000000.0,2
imports,333111,7773045648.0,9444000000.0,2
imports,333112,1440796269.0,121000000.0,2
imports,333120,18290911892.0,15202000000.0,2
imports,333130,2221526866.0,1867000000.0,2
imports,333242,13277841365.0,3950000000.0,2
imports,33329A,13639161003.0,16754000000.0,2
imports,333314,5742363388.0,5401000000.0,2
imports,333316,1833168010.0,727000000.0,2
imports,333318,3881173474.0,7512000000.0,2
imports,333414,1338120460.0,1082000000.0,2
imports,333415,11217965660.0,11936000000.0,2
imports,333413,2702275353.0,2514000000.0,2
imports,333511,2640252657.0,2479000000.0,2
imports,333514,1006615650.0,1429000000.0,2
imports,333517,7456418464.0,6324000000.0,2
imports,33351B,3092122799.0,2950000000.0,2
imports,333611,4141622560.0,3371000000.0,2
imports,333612,4234253107.0,4951000000.0,2
imports,333613,2349922782.0,2839000000.0,2
imports,333618,13239615468.0,11921000000.0,2
imports,333912,6431865590.0,3501000000.0,2
imports,333914,5080449647.0,4771000000.0,2
imports,333920,8343420931.0,7779000000.0,2
imports,333991,5289484811.0,4730000000.0,2
imports,333993,2930711763.0,3003000000.0,2
imports,333994,704508692.0,624000000.0,2
imports,33399A,17370382570.0,14702000000.0,2
imports,33399B,5764561477.0,5664000000.0,2
imports,334111,65462030714.0,57773000000.0,2
imports,334112,9956285835.0,5171000000.0,2
imports,334118,22650394839.0,37618000000.0,2
imports,334210,1994268596.0,11116000000.0,2
imports,334220,122988460758.0,96358000000.0,2
imports,334290,1624534030.0,1432000000.0,2
imports,334413,45829755732.0,30324000000.0,2
imports,334418,20589994089.0,757000000.0,2
imports,33441A,15581293118.0,15336000000.0,2
imports,334510,11487765131.0,9414000000.0,2
imports,334511,7192535658.0,5680000000.0,2
imports,334512,1478877711.0,1295000000.0,2
imports,334513,8541016864.0,5375000000.0,2
imports,334514,2227679384.0,2158000000.0,2
imports,334515,6960132748.0,5691000000.0,2
imports,334516,6413457985.0,5257000000.0,2
imports,334517,4068669729.0,3481000000.0,2
imports,33451A,6681368036.0,6133000000.0,2
imports,334300,32354769822.0,28808000000.0,2
imports,334610,10686073012.0,507000000.0,2
imports,335110,1402431028.0,1254000000.0,2
imports,335120,14556308213.0,14038000000.0,2
imports,335210,12659990791.0,11755000000.0,2
imports,335220,17575641612.0,16797000000.0,2
imports,335311,2545683691.0,2287000000.0,2
imports,335312,13236615137.0,11413000000.0,2
imports,335313,12020625957.0,3984000000.0,2
imports,335314,5662581186.0,8831000000.0,2
imports,335911,6977304813.0,6470000000.0,2
imports,335912,970516985.0,815000000.0,2
imports,335920,9223515793.0,7818000000.0,2
imports,335930,6535473145.0,2967000000.0,2
imports,335991,968369287.0,913000000.0,2
imports,335999,12956810192.0,9175000000.0,2
imports,336111,66332409831.52894,66068000000.0,1
imports,336112,129257236582.47105,128742000000.0,1
imports,336120,13248807122.0,15180000000.0,2
imports,336211,687017725.0,65000000.0,2
imports,336212,2097157153.0,2055000000.0,2
imports,336213,284010218.0,281000000.0,1
imports,336214,594217520.0,1122000000.0,2
imports,336310,18355953019.0,17320000000.0,2
imports,336320,20231776147.0,17375000000.0,2
imports,336350,8984402608.0,15660000000.0,2
imports,336360,7521301035.0,8692000000.0,2
imports,336370,629855013.0,572000000.0,2
imports,336390,36892652146.0,35891000000.0,2
imports,3363A0,23016373907.0,12749000000.0,2
imports,336411,13781505809.0,8839000000.0,2
imports,336412,21377371340.0,13535000000.0,2
imports,336413,16472750160.0,14753000000.0,2
imports,336414,19926046.0,391000000.0,2
imports,33641A,739066675.0,718000000.0,2
imports,336500,1139402819.0,3071000000.0,2
imports,336611,886233216.0,495000000.0,2
imports,336612,1582535597.0,1679000000.0,2
imports,336991,4886178891.0,4713000000.0,2
imports,336992,265590084.0,257000000.0,2
imports,336999,1643310075.0,542000000.0,2
imports,337110,1602631574.0,1603000000.0,1
imports,337121,5860093298.0,6012000000.0,2
imports,337122,5631033624.0,12137000000.0,2
imports,337127,14192080246.0,9106000000.0,2
imports,33712N,6822564899.0,4401000000.0,2
imports,337215,7033640977.0,6173000000.0,2
imports,33721A,1825206625.0,1810000000.0,1
imports,337900,2634150660.0,2215000000.0,2
imports,339112,14300446218.0,11966000000.0,2
imports,339113,15862293773.0,17211000000.0,2
imports,339114,1525844609.0,1727000000.0,2
imports,339115,5733613568.0,4759000000.0,2
imports,339116,522436383.0,0.0,4
imports,339910,38817760208.0,13262000000.0,2
imports,339920,8308472796.0,7732000000.0,2
imports,339930,20850962814.0,19427000000.0,2
imports,339940,2117534888.0,1939000000.0,2
imports,339950,299311930.0,282000000.0,2
imports,339990,16309607045.0,15182000000.0,2
imports,311111,842945450.0,830000000.0,2
imports,311119,674122964.0,626000000.0,2
imports,311210,2205560415.0,1582000000.0,2
imports,311221,820541220.0,1073000000.0,2
imports,311225,410405523.0,227000000.0,2
imports,311224,7636877155.0,7597000000.0,1
imports,311230,518141807.0,494000000.0,2
imports,311300,7967285131.0,7651000000.0,2
imports,311410,3597558298.0,3391000000.0,2
imports,311420,7324641178.0,7047000000.0,2
imports,311513,1232218451.0,1222000000.0,1
imports,311514,1316744337.0,1048000000.0,2
imports,31151A,326678882.0,557000000.0,2
imports,311520,66903471.0,65000000.0,2
imports,311615,482109000.0,487000000.0,1
imports,31161A,9813255825.0,9384000000.0,2
imports,311700,2989819029.0,4429000000.0,2
imports,311810,4706351978.0,4710000000.0,1
imports,3118A0,913904133.0,888000000.0,2
imports,311910,906336031.0,3384000000.0,2
imports,311920,2589374505.0,2122000000.0,2
imports,311930,155957703.0,2481000000.0,2
imports,311940,2414318841.0,2401000000.0,1
imports,311990,3305405663.0,3503000000.0,2
imports,312110,3948046903.0,3908000000.0,2
imports,312120,5399917869.0,5266000000.0,2
imports,312130,7974246292.0,7739000000.0,2
imports,312140,6532268555.0,6364000000.0,2
imports,312200,1511100666.0,968000000.0,2
imports,313100,664751862.0,560000000.0,2
imports,313200,6440980038.0,4980000000.0,2
imports,313300,1474812138.0,1526000000.0,2
imports,314110,2903799857.0,2802000000.0,2
imports,314120,12535450313.0,12476000000.0,1
imports,314900,7399562928.0,7656000000.0,2
imports,315000,87236225341.0,85194000000.0,2
imports,316000,39640073977.0,38822000000.0,2
imports,322110,3178488362.0,3015000000.0,2
imports,322120,5574556147.0,8156000000.0,2
imports,322130,2164202812.0,1508000000.0,2
imports,322210,2147102268.0,2166000000.0,1
imports,322220,3759414855.0,5299000000.0,2
imports,322230,374948619.0,320000000.0,2
imports,322291,2381002717.0,1006000000.0,2
imports,322299,1304545559.0,966000000.0,2
imports,323110,5792835068.0,2582000000.0,2
imports,323120,34282583.0,17000000.0,2
imports,324110,51053193561.0,52142000000.0,2
imports,324121,89218472.0,88000000.0,1
imports,324122,272453367.0,269000000.0,2
imports,324190,47007889.0,111000000.0,2
imports,325110,1418651463.0,6222000000.0,2
imports,325120,207658762.0,210000000.0,1
imports,325130,2357630915.0,2190000000.0,2
